,Open,High,Low,Close,Volume
2020-05-07 09:15:00,27.5,27.9,26.15,27.4,21167.0
2020-05-08 09:15:00,27.6,27.95,26.5,26.7,14536.0
2020-05-11 09:15:00,26.15,27.65,26.15,26.8,15391.0
2020-05-12 09:15:00,26.6,26.95,26.0,26.2,18101.0
2020-05-13 09:15:00,27.65,27.65,25.65,26.2,81881.0
2020-05-14 09:15:00,26.0,26.45,25.7,25.8,19306.0
2020-05-15 09:15:00,26.0,26.5,25.75,26.1,25212.0
2020-05-18 09:15:00,26.25,26.25,25.05,25.15,32865.0
2020-05-19 09:15:00,25.5,25.65,24.6,24.85,14217.0
2020-05-20 09:15:00,25.4,25.75,24.75,24.9,30354.0
2020-05-21 09:15:00,25.5,25.85,25.05,25.55,16907.0
2020-05-22 09:15:00,26.0,26.4,25.0,25.8,17957.0
2020-05-26 09:15:00,26.4,26.4,25.1,25.45,25472.0
2020-05-27 09:15:00,25.9,26.0,25.35,25.6,18033.0
2020-05-28 09:15:00,25.95,26.65,25.65,26.1,22319.0
2020-05-29 09:15:00,26.6,26.65,25.65,26.15,21799.0
2020-06-01 09:15:00,27.0,27.5,26.3,26.9,35038.0
2020-06-02 09:15:00,26.9,27.85,26.9,27.5,38619.0
2020-06-03 09:15:00,29.0,29.2,27.75,28.85,93636.0
2020-06-04 09:15:00,29.0,29.75,27.65,28.3,37241.0
2020-06-05 09:15:00,29.25,30.0,28.7,29.5,77986.0
2020-06-08 09:15:00,31.0,32.3,30.75,31.75,204427.0
2020-06-09 09:15:00,30.5,30.5,29.0,29.4,111274.0
2020-06-10 09:15:00,30.0,30.5,28.5,29.15,45866.0
2020-06-11 09:15:00,29.7,29.75,27.7,28.1,46329.0
2020-06-12 09:15:00,26.05,28.45,26.05,28.05,40671.0
2020-06-15 09:15:00,28.05,30.8,27.6,30.15,115420.0
2020-06-16 09:15:00,32.2,34.8,30.35,31.55,692924.0
2020-06-17 09:15:00,31.55,32.5,28.75,30.15,148172.0
2020-06-18 09:15:00,31.45,31.7,29.0,30.45,116825.0
2020-06-19 09:15:00,30.9,33.5,30.7,31.3,88615.0
2020-06-22 09:15:00,32.2,33.7,30.75,33.05,213131.0
2020-06-23 09:15:00,36.4,36.4,32.6,34.05,570884.0
2020-06-24 09:15:00,35.3,35.3,32.0,32.25,139523.0
2020-06-25 09:15:00,32.0,32.15,30.75,31.35,70713.0
2020-06-26 09:15:00,31.8,33.0,31.6,32.3,55790.0
2020-06-29 09:15:00,33.0,35.0,32.4,34.45,241641.0
2020-06-30 09:15:00,34.7,35.1,32.0,32.4,232866.0
2020-07-01 09:15:00,32.75,33.75,32.35,32.5,54083.0
2020-07-02 09:15:00,34.25,34.25,31.15,32.5,80877.0
2020-07-03 09:15:00,33.45,33.45,32.1,32.25,59235.0
2020-07-06 09:15:00,32.75,34.2,32.2,33.2,167877.0
2020-07-07 09:15:00,33.55,33.55,32.0,32.2,76051.0
2020-07-08 09:15:00,32.2,32.8,32.05,32.25,42389.0
2020-07-09 09:15:00,32.3,32.75,31.65,32.0,38573.0
2020-07-10 09:15:00,31.85,34.5,31.5,32.3,37441.0
2020-07-13 15:30:00,32.85,33.85,31.85,33.45,187055.0
